pickup_datetime,passenger_count,pickup_longitude,pickup_latitude
2013-01-24 22:20:00,1,-74.005409,40.707375
2013-01-24 22:20:00,1,-74.004211,40.706535
2013-01-24 22:20:00,2,-74.012497,40.717033
2013-01-24 22:20:00,1,-74.011063,40.713631
2013-01-24 22:20:00,1,-74.008224,40.716789
2013-01-24 22:20:00,2,-74.008698,40.708416
2013-01-24 22:20:00,1,-73.998039,40.716927
2013-01-24 22:20:00,5,-74.009163,40.717381
2013-01-24 22:20:07,1,-74.009216,40.713886
2013-01-24 22:20:19,1,-74.00666,40.706623
2013-01-24 22:20:27,1,-74.008507,40.707706
2013-01-24 22:20:31,1,-74.001137,40.718792
2013-01-24 22:20:34,1,-74.011711,40.713444
2013-01-24 22:20:54,3,-74.007401,40.714653
2013-01-24 22:21:00,5,-74.013939,40.715302
2013-01-24 22:21:00,6,-74.006516,40.709534
2013-01-24 22:21:00,1,-74.010963,40.713482
2013-01-24 22:21:00,1,-74.01133,40.708569
2013-01-24 22:21:00,1,-74.000214,40.71767
2013-01-24 22:21:00,2,-74.004967,40.706947
2013-01-24 22:21:00,1,-74.012733,40.716911
2013-01-24 22:21:00,1,-74.012001,40.70726
2013-01-24 22:21:00,6,-74.008957,40.711094
2013-01-24 22:21:05,1,-74.00708,40.716045
2013-01-24 22:21:10,2,-74.006912,40.715973
2013-01-24 22:21:18,4,-74.0019,40.71711
2013-01-24 22:21:26,1,-74.009995,40.71653
2013-01-24 22:21:34,1,-74.005287,40.718906
2013-01-24 22:21:47,1,-74.01387,40.708038
2013-01-24 22:21:51,1,-74.008148,40.71471
2013-01-24 22:21:52,1,-74.010925,40.709061
2013-01-24 22:21:59,1,-74.002464,40.717724
2013-01-24 22:22:00,3,-74.010338,40.712124
2013-01-24 22:22:00,1,-74.010422,40.718758
2013-01-24 22:22:00,5,-74.007919,40.714901
2013-01-24 22:22:00,5,-74.009117,40.7173
2013-01-24 22:22:00,2,-74.006516,40.716423
2013-01-24 22:22:00,1,-74.007965,40.711876
2013-01-24 22:22:00,1,-74.008827,40.718262
2013-01-24 22:22:00,1,-74.009071,40.7108
2013-01-24 22:22:00,1,-74.007584,40.708591
2013-01-24 22:22:00,1,-73.999954,40.714218
2013-01-24 22:22:00,1,-74.009087,40.718681
2013-01-24 22:22:00,1,-74.00885,40.711071
2013-01-24 22:22:00,1,-74.010033,40.709961
2013-01-24 22:22:00,4,-74.004089,40.707523
2013-01-24 22:22:08,1,-74.014069,40.709221
2013-01-24 22:22:13,1,-74.009361,40.71323
2013-01-24 22:22:22,2,-74.008018,40.714581
2013-01-24 22:22:29,1,-74.009056,40.713753
2013-01-24 22:22:56,4,-74.008034,40.71701
2013-01-24 22:22:59,1,-74.00856,40.716503
2013-01-24 22:23:00,6,-74.007126,40.715965
2013-01-24 22:23:00,1,-74.007866,40.717381
2013-01-24 22:23:00,1,-74.008972,40.711029
2013-01-24 22:23:00,1,-74.005203,40.719002
2013-01-24 22:23:00,6,-74.009323,40.710686
2013-01-24 22:23:00,1,-74.011307,40.715004
2013-01-24 22:23:03,2,-74.000145,40.717907
2013-01-24 22:23:16,3,-74.004585,40.709972
2013-01-24 22:23:23,1,-74.004227,40.716919
2013-01-24 22:23:26,2,-74.006439,40.706692
2013-01-24 22:23:29,1,-74.009109,40.713905
2013-01-24 22:23:34,1,-74.010147,40.714443
2013-01-24 22:24:00,1,-74.008087,40.714966
2013-01-24 22:24:00,2,-74.013763,40.709381
2013-01-24 22:24:00,1,-74.006531,40.716518
2013-01-24 22:24:00,1,-74.006248,40.710751
2013-01-24 22:24:00,4,-74.004181,40.713219
2013-01-24 22:24:03,1,-74.012428,40.707066
2013-01-24 22:24:26,1,-74.009216,40.710793
2013-01-24 22:24:46,1,-73.998718,40.715691
2013-01-24 22:24:58,1,-74.010536,40.718815
2013-01-24 22:25:00,6,-74.009262,40.715343
2013-01-24 22:25:00,1,-74.003693,40.713657
2013-01-24 22:25:00,1,-74.010185,40.709866
2013-01-24 22:25:00,1,-74.008698,40.715927
2013-01-24 22:25:00,1,-74.004463,40.710018
2013-01-24 22:25:18,1,-74.008377,40.708961
2013-01-24 22:25:19,1,-74.006058,40.708691
2013-01-24 22:25:44,4,-74.008354,40.716663
2013-01-24 22:25:59,1,-74.007088,40.716209
2013-01-24 22:26:00,1,-74.006645,40.718159
2013-01-24 22:26:00,1,-74.001305,40.717682
2013-01-24 22:26:00,1,-74.005074,40.718956
2013-01-24 22:26:00,3,-74.009598,40.710426
2013-01-24 22:26:00,1,-74.011543,40.716614
2013-01-24 22:26:00,2,-73.998756,40.717113
2013-01-24 22:26:10,1,-74.01329,40.715527
2013-01-24 22:26:11,3,-74.00071,40.710957
2013-01-24 22:26:21,1,-74.010185,40.711937
2013-01-24 22:26:24,1,-74.008148,40.710442
2013-01-24 22:26:30,1,-74.008598,40.715797
2013-01-24 22:26:55,1,-74.005981,40.718227
2013-01-24 22:27:00,2,-74.010048,40.718754
2013-01-24 22:27:00,3,-74.009201,40.707344
2013-01-24 22:27:00,5,-74.004822,40.707619
2013-01-24 22:27:00,5,-74.009468,40.710388
2013-01-24 22:27:00,1,-74.009254,40.710716
2013-01-24 22:27:00,1,-74.008621,40.714043
2013-01-24 22:27:00,1,-74.013214,40.715694
2013-01-24 22:27:00,3,-74.008675,40.715919
2013-01-24 22:27:00,1,-74.0047,40.712307
2013-01-24 22:27:00,2,-74.010162,40.711987
2013-01-24 22:27:04,1,-74.004547,40.707794
2013-01-24 22:27:16,2,-74.006516,40.714249
2013-01-24 22:27:20,1,-74.010704,40.710602
2013-01-24 22:27:37,1,-74.008873,40.713848
2013-01-24 22:27:38,1,-74.010155,40.712311
2013-01-24 22:27:39,1,-74.010239,40.712067
2013-01-24 22:27:46,2,-73.998482,40.71701
2013-01-24 22:28:00,6,-74.008286,40.716801
2013-01-24 22:28:00,1,-74.000198,40.718822
2013-01-24 22:28:00,1,-74.00914,40.717445
2013-01-24 22:28:00,1,-74.000771,40.70929
2013-01-24 22:28:00,1,-74.009293,40.716228
2013-01-24 22:28:00,1,-74.004852,40.718872
2013-01-24 22:28:00,1,-74.008507,40.714157
2013-01-24 22:28:07,2,-74.00296,40.7183
2013-01-24 22:28:16,1,-74.000198,40.71822
2013-01-24 22:28:17,1,-74.010147,40.718784
2013-01-24 22:28:26,1,-74.013489,40.708698
2013-01-24 22:28:37,2,-74.007095,40.718166
2013-01-24 22:28:39,1,-74.011406,40.708267
2013-01-24 22:28:40,1,-74.010506,40.713776
2013-01-24 22:28:41,1,-74.010674,40.718822
2013-01-24 22:28:50,1,-74.011963,40.715183
2013-01-24 22:28:54,1,-74.011086,40.708881
2013-01-24 22:28:55,1,-74.008354,40.716766
2013-01-24 22:28:57,1,-74.008377,40.716736
2013-01-24 22:29:00,3,-74.013046,40.714874
2013-01-24 22:29:00,6,-74.009979,40.715061
2013-01-24 22:29:00,2,-74.009117,40.717281
2013-01-24 22:29:00,5,-74.004562,40.708118
2013-01-24 22:29:00,1,-74.01178,40.709663
2013-01-24 22:29:11,1,-74.009071,40.718311
2013-01-24 22:29:15,1,-74.00898,40.707077
2013-01-24 22:29:17,1,-74.006668,40.708248
